,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ONTOLOGY(S),SOURCE(S),ontology_uri
390,Clonorchis,Clonorchis,NCBITaxon_79922,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_79922
391,Chandipura virus,Chandipura virus,NCBITaxon_11272,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_11272
392,Parvovirus B19,Parvovirus B19,NCIT_C89772,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C89772
393,Plasmodium,Plasmodium,NCIT_C98268,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C98268
394,Men who have sex with men (MSM),Men who have Sex with Men,NCIT_C84365,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C84365
395,H3N8,G96430BV,GNO_G96430BV,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/gno.owl,http://purl.obolibrary.org/obo/GNO_G96430BV
396,Cardiobacterium,Cardiobacterium,NCIT_C86243,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86243
397,Bacteroides,Bacteroides,NCIT_C76204,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C76204
398,Mycoplasma,Mycoplasma,NCIT_C73540,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C73540
399,Orientia,Orientia,NCBITaxon_69474,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_69474
400,Treponema,Treponema,NCIT_C76385,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C76385
401,Hafnia,Hafnia,NCIT_C86434,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86434
402,Prevotella,Prevotella,NCIT_C86660,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86660
403,Serratia,Serratia,NCIT_C86010,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86010
404,Stenotrophomonas,Stenotrophomonas,NCIT_C86776,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86776
405,Oerskovia,Oerskovia,NCIT_C86622,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86622
406,Psychrobacter,Psychrobacter,NCIT_C86707,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86707
407,Halicephalobus,Halicephalobus,NCBITaxon_114867,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_114867
408,Veillonella,Veillonella,NCIT_C86837,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86837
409,Acanthamoeba,Acanthamoeba,NCIT_C118934,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C118934
410,Alcaligenes,Alcaligenes,NCIT_C86012,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86012
411,Apophysomyces,Apophysomyces,NCIT_C127271,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C127271
412,Arthrographis,Arthrographis,NCIT_C139106,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C139106
413,Balamuthia,Balamuthia,NCIT_C122041,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C122041
414,Paecilomyces,Paecilomyces,NCIT_C123532,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C123532
415,Providencia,Providencia,NCIT_C86690,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86690
416,Ureaplasma,Ureaplasma,NCIT_C86832,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86832
417,Rhodotorula,Rhodotorula,NCIT_C124370,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C124370
418,Scedosporium,Scedosporium,NCIT_C127297,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C127297
419,Sporotrichosis,sporotrichosis,EFO_0007494,http://www.ebi.ac.uk/efo/,http://www.ebi.ac.uk/efo/efo.owl,http://www.ebi.ac.uk/efo/EFO_0007494
420,Long-term care facility,Long-Term Care Facility,NCIT_C53530,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C53530
421,Pasteurella,Pasteurella,NCIT_C86636,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86636
422,Aedes mosquito,Aedes taeniorhynchus,NCIT_C87499,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C87499
423,Culex mosquito,Culex quinquefasciatus,NCBITaxon_7176,http://purl.obolibrary.org/obo/,http://www.ebi.ac.uk/efo/efo.owl,http://purl.obolibrary.org/obo/NCBITaxon_7176
424,Harmful Algal Blooms,Harmful Algal Bloom,OMIT_0026854,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0026854
425,Fasciola,Fasciola,NCIT_C122021,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C122021
426,Psoroptes,Psoroptes,NCBITaxon_83911,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_83911
427,Human parainfluenza virus,Human Parainfluenza Virus,NCIT_C125641,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C125641
428,European brown hare syndrome virus,European brown hare syndrome virus,NCBITaxon_33756,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_33756
429,Feline leukemia virus,Feline leukemia virus,NCBITaxon_11768,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_11768
430,Borrelia,Borrelia,NCIT_C86206,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86206
431,Naegleria fowleri,Naegleria fowleri,NCIT_C123523,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C123523
432,Fibropapillomatosis,Fibropapillomatosis associated Chelonia mydas herpesvirus,NCBITaxon_179532,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_179532
433,Pox viruses (non-domestic species),class III plant peroxidase,PR_000022000,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/pr.owl,http://purl.obolibrary.org/obo/PR_000022000
434,Sex workers,Sex Workers,OMIT_0027762,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0027762
435,Scrapie,scrapie,EFO_1001168,http://www.ebi.ac.uk/efo/,http://www.ebi.ac.uk/efo/efo.owl,http://www.ebi.ac.uk/efo/EFO_1001168
436,Ovine epididymitis,Epididymitis,OMIT_0006060,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0006060
437,Spodoptera frugiperda,Spodoptera frugiperda,NCBITaxon_7108,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_7108
438,Aspergillus niger,Aspergillus niger,NCIT_C121138,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C121138
439,Mycotoxins,Mycotoxins,OMIT_0010221,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/omit.owl,http://purl.obolibrary.org/obo/OMIT_0010221
440,Acalymma vittatum,Acalymma vittatum,NCBITaxon_133117,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_133117
441,Acanalonia conica,Acanalonia conica,NCBITaxon_1585284,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1585284
442,Acanthococcus lagerstroemiae,Acanthococcus lagerstroemiae,NCBITaxon_2838189,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2838189
443,Acanthotomicus suncei,Acanthotomicus suncei,NCBITaxon_2482882,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2482882
444,Acaphylla theae,Acaphylla theae,NCBITaxon_1480105,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1480105
445,Aceria ficus,Aceria ficus,NCBITaxon_2813510,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2813510
446,Aceria kuko,Aceria,NCBITaxon_109362,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_109362
447,Aceria litchii,Aceria litchii,NCBITaxon_2654999,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2654999
448,Aceria mangiferae,Aceria mangiferae,NCBITaxon_1336405,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1336405
449,Achyra rantalis,Achyra rantalis,NCBITaxon_1889816,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1889816
450,Achyranthes virus A,Achyranthes virus A,NCBITaxon_2753665,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2753665
451,Acidovorax citrulli,Acidovorax citrulli,NCBITaxon_80869,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_80869
452,Aclees taiwanensis,Aclees taiwanensis,NCBITaxon_2758708,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2758708
453,Aconite virus A,Aconite virus A,NCBITaxon_2764701,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2764701
454,Actinidia virus C,Actinidia virus C,NCBITaxon_2715793,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2715793
455,Actinidia virus X,Actinidia virus X,NCBITaxon_1331744,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1331744
456,Actinidia yellowing ringspot virus,Actinidia yellowing ringspot virus,NCBITaxon_2715794,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2715794
457,Aculops fuchsiae,Aculops fuchsiae,NCBITaxon_2813514,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2813514
458,Adelges pectinatae,Adelges pectinatae,NCBITaxon_419081,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_419081
459,Adelges tsugae,Adelges tsugae,NCBITaxon_357502,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_357502
460,Affinibrenneria salicis,Affinibrenneria salicis,NCBITaxon_2590031,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2590031
461,Agapanthus tungro virus,rice tungro disease,CO_320:0000184,http://www.cropontology.org/rdf/,http://www.cropontology.org/ontology/CO_320/Rice,http://www.cropontology.org/rdf/CO_320:0000184
462,Ageratum yellow vein Sri Lanka virus,Ageratum yellow vein Sri Lanka virus,NCBITaxon_222079,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_222079
463,Agrilus ater,Agrilus ater,NCBITaxon_1762823,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1762823
464,Agrilus bilineatus,Agrilus bilineatus,NCBITaxon_2201949,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2201949
465,Agrilus hastulifer,Agrilus hastulifer,NCBITaxon_2211264,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2211264
466,Agrilus horni,Agrilus horni,NCBITaxon_2486035,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2486035
467,Agrilus mali,Agrilus mali,NCBITaxon_1917227,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1917227
468,Agriphila aeneociliella,Agriphila aeneociliella,NCBITaxon_2944869,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2944869
469,Agrobacterium pusense,Agrobacterium,NCIT_C86011,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncit.owl,http://purl.obolibrary.org/obo/NCIT_C86011
470,Agrotis robusta,Agrotis robusta,NCBITaxon_2732335,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2732335
471,Aleurocanthus arecae,Aleurocanthus arecae,NCBITaxon_2839871,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2839871
472,Aleurocanthus camelliae,Aleurocanthus camelliae,NCBITaxon_1000661,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1000661
473,Aleurocerus palmae,Arecaceae,NCBITaxon_4710,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/envo.owl,http://purl.obolibrary.org/obo/NCBITaxon_4710
474,Aleuroclava jasmini,Aleuroclava jasmini,NCBITaxon_1941242,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1941242
475,Aleuroclava psidii,Aleuroclava psidii,NCBITaxon_1149941,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1149941
476,Aleurodicus dispersus,Aleurodicus dispersus,NCBITaxon_267823,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_267823
477,Aleurodicus rugioperculatus,Aleurodicus rugioperculatus,NCBITaxon_1608326,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1608326
478,Aleurolobus marlatti,Aleurolobus marlatti,NCBITaxon_1149932,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1149932
479,Aleurothrixus floccosus,Aleurothrixus floccosus,NCBITaxon_594379,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_594379
480,Aleurothrixus trachoides,Aleurothrixus trachoides,NCBITaxon_2710796,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2710796
481,Aleurotrachelus atratus,Aleurotrachelus atratus,NCBITaxon_594397,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_594397
482,Allokermes galliformis,Allokermes galliformis,NCBITaxon_1715832,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1715832
483,Alsophila pometaria,Alsophila pometaria,NCBITaxon_689273,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_689273
484,Alstroemeria necrotic streak virus,Alstroemeria necrotic streak virus,NCBITaxon_693450,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_693450
485,Alternaria gaisen,Alternaria gaisen,NCBITaxon_167740,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_167740
486,Alternaria grandis,Alternaria grandis,NCBITaxon_470694,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_470694
487,Alternaria mali,Alternaria mali,NCBITaxon_167741,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_167741
488,Alternaria panax,Alternaria panax,NCBITaxon_48097,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_48097
489,Alternaria physalidis,Alternaria physalidis,NCBITaxon_2654671,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2654671
490,Alternaria tenuissima,Alternaria tenuissima,NCBITaxon_119927,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_119927
491,Alternaria thunbergiae,Alternaria thunbergiae,NCBITaxon_1568918,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1568918
492,Amasa truncata,Amasa truncata,NCBITaxon_1482075,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1482075
493,Ambrosiodmus compressus,Ambrosiodmus compressus,NCBITaxon_195549,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_195549
494,Ambrosiodmus rubricollis,Ambrosiodmus rubricollis,NCBITaxon_661389,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_661389
495,Amrasca biguttula biguttula,Amrasca biguttula biguttula,NCBITaxon_1836603,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1836603
496,Amyelois transitella,Amyelois transitella,NCBITaxon_680683,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_680683
497,Anadevidia peponis,Anadevidia peponis,NCBITaxon_254367,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_254367
498,Anastrepha alveatoides,Anastrepha alveatoides,NCBITaxon_2006190,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2006190
499,Anastrepha australis,Anastrepha australis,NCBITaxon_95523,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_95523
500,Anastrepha dissimilis,Anastrepha dissimilis,NCBITaxon_2006222,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2006222
501,Anastrepha elegans,Anastrepha elegans,NCBITaxon_2006227,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2006227
502,Anastrepha macrura,Anastrepha macrura,NCBITaxon_2006262,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2006262
503,Anastrepha pastranai,Anastrepha pastranai,NCBITaxon_2006282,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2006282
504,Anastrepha punctata,Anastrepha punctata,NCBITaxon_95518,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_95518
505,Anguina pacificae,Anguina pacificae,NCBITaxon_165977,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_165977
506,Anisandrus maiche,Anisandrus maiche,NCBITaxon_1158784,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1158784
507,Anomala exitialis,Nematocryptus exitialis,NCBITaxon_2736798,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2736798
508,Anthonomus spilotus,Anthonomus spilotus,NCBITaxon_2684830,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2684830
509,Anticarsia gemmatalis,Anticarsia gemmatalis,NCBITaxon_129554,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_129554
510,Aonidiella citrina,Aonidiella citrina,NCBITaxon_665242,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_665242
511,Aonidiella orientalis,Aonidiella orientalis,NCBITaxon_2038803,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2038803
512,Apate monachus,Apate monachus,NCBITaxon_2599484,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2599484
513,Aphalara itadori,Aphalara itadori,NCBITaxon_1566707,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1566707
514,Aphelenchoides arachidis,Aphelenchoides,NCBITaxon_90723,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/pso.owl#,http://purl.obolibrary.org/obo/NCBITaxon_90723
515,Aphelenchoides besseyi,Aphelenchoides besseyi,NCBITaxon_269767,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_269767
516,Aphelenchoides fragariae,Aphelenchoides fragariae,NCBITaxon_90724,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_90724
517,Aphelenchoides goodeyi,Aphelenchoides,NCBITaxon_90723,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/pso.owl#,http://purl.obolibrary.org/obo/NCBITaxon_90723
518,Aphelenchoides pseudogoodeyi,Aphelenchoides pseudogoodeyi,NCBITaxon_2600240,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2600240
519,Aphis illinoisensis,Aphis illinoisensis,NCBITaxon_527570,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_527570
520,Aphis odinae,Aphis odinae,NCBITaxon_464927,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_464927
521,Apium virus Y,Apium virus Y,NCBITaxon_168135,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_168135
522,Aplonobia histricina,Aplonobia histricina,NCBITaxon_392235,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_392235
523,Aplosporella javeedii,Aplosporella javeedii,NCBITaxon_1346708,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1346708
524,Apple chlorotic fruit spot viroid,Apple chlorotic fruit spot viroid,NCBITaxon_2029516,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2029516
525,Apple Green Crinkle Associated Virus,Apple green crinkle associated virus,NCBITaxon_1211388,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1211388
